run_date,code,name,close,market_cap_억원,stock_return_pct,kospi_return_pct,rs_index,ma20,ma20_gap_pct,volatility_contraction,price_change_5d_pct,ma120,avg_volume_50,avg_volume_10,volume_change_pct,industry,core_theme,etf_trend_good,etf_names,etf_details,source_url
2026-08-11,007070,GS리테일,27550,23242,22.99,14.91,107.03,25687.50,7.25,X,+9.98,23594.83,206535,285251,+38.11,백화점과일반상점,편의점 / 홈쇼핑 / 소매유통,미통과,,,https://finance.naver.com/item/main.naver?code=007070
2026-08-11,001800,오리온홀딩스,27950,16091,15.26,14.91,100.30,25960.00,7.67,X,+10.04,24939.17,125979,89397,-29.04,식품,지주사,통과,KODEX 코리아배당성장 / TIGER 배당성장,"KODEX 코리아배당성장 (비중 3.69%, 20일선 +2.05%) / TIGER 배당성장 (비중 3.68%, 20일선 +2.27%)",https://finance.naver.com/item/main.naver?code=001800
2026-08-11,028670,팬오션,5780,30844,12.89,14.91,98.24,5340.00,8.24,X,+2.48,5315.92,2725142,4885206,+79.26,해운사,LNG(액화천연가스) / 해운,통과,KODEX 운송 / TIGER 우량가치,"KODEX 운송 (비중 11.38%, 20일선 +4.00%) / TIGER 우량가치 (비중 2.31%, 20일선 +5.09%)",https://finance.naver.com/item/main.naver?code=028670
2026-08-11,003550,LG,108300,182337,12.58,14.91,97.97,100300.00,7.98,X,+6.18,101585.83,605926,322928,-46.71,복합기업,밸류업(24년 기업가치 제고계획 발표) / 지주사 / 스마트팩토리(스마트공장),통과,TIGER 지주회사 / TIGER LG그룹플러스 / TIGER MKF배당귀족,"TIGER 지주회사 (비중 8.73%, 20일선 +4.71%) / TIGER LG그룹플러스 (비중 9.12%, 20일선 +7.62%) / TIGER MKF배당귀족 (비중 3.63%, 20일선 +3.58%)",https://finance.naver.com/item/main.naver?code=003550
2026-08-11,192080,더블유게임즈,61800,13000,11.75,14.91,97.26,60645.00,1.90,O,+0.49,58445.00,77852,43483,-44.15,게임엔터테인먼트,코리아 밸류업 지수(Korea Value-up Index) / 게임 / 모바일게임(스마트폰),통과,ACE 주주환원가치주액티브 / RISE 게임테마 / TIGER K게임,"ACE 주주환원가치주액티브 (비중 9.02%, 20일선 +3.50%) / RISE 게임테마 (비중 11.00%, 20일선 +7.84%) / TIGER K게임 (비중 9.64%, 20일선 +8.77%)",https://finance.naver.com/item/main.naver?code=192080
2026-08-11,012330,현대모비스,495500,495399,11.10,14.91,96.68,483050.00,2.58,O,+2.91,494354.17,499763,293164,-41.34,자동차부품,자동차 대표주 / 스마트카(SMART CAR) / 피지컬 AI/휴머노이드 로봇,통과,KODEX 로봇액티브 / TIGER 현대차그룹플러스 / KODEX 자동차,"KODEX 로봇액티브 (비중 7.78%, 20일선 +6.78%) / TIGER 현대차그룹플러스 (비중 15.64%, 20일선 +2.89%) / KODEX 자동차 (비중 21.38%, 20일선 +2.38%)",https://finance.naver.com/item/main.naver?code=012330
2026-08-11,021240,코웨이,97600,69635,11.04,14.91,96.63,93355.00,4.55,X,+3.50,86012.50,231034,212360,-8.08,가정용기기와용품,제습기 / 여름 / 밸류업(25년 기업가치 제고계획 발표),통과,KODEX 경기소비재 / RISE 우량업종대표주 / TIGER 200 경기소비재,"KODEX 경기소비재 (비중 13.19%, 20일선 +0.62%) / RISE 우량업종대표주 (비중 2.59%, 20일선 +2.31%) / TIGER 200 경기소비재 (비중 5.91%, 20일선 +0.91%)",https://finance.naver.com/item/main.naver?code=021240
2026-08-11,000810,삼성화재,641000,273689,10.33,14.91,96.01,632500.00,1.34,X,+3.39,560354.17,151852,115770,-23.76,손해보험,손해보험 / 밸류업(25년 기업가치 제고계획 발표) / 코리아 밸류업 지수(Korea Value-up Index),통과,KODEX 금융고배당TOP10타겟위클리커버드콜 / KODEX 보험 / TIGER KTOP30,"KODEX 금융고배당TOP10타겟위클리커버드콜 (비중 9.52%, 20일선 +0.39%) / KODEX 보험 (비중 21.18%, 20일선 +3.73%) / TIGER KTOP30 (비중 3.39%, 20일선 +0.48%)",https://finance.naver.com/item/main.naver?code=000810
2026-08-11,003490,대한항공,26650,96842,7.46,14.91,93.52,26042.50,2.33,X,+2.11,25823.33,2875508,2424191,-15.70,항공사,환율하락 수혜 / UAM(도심항공모빌리티) / 밸류업(24년 기업가치 제고계획 발표),통과,TIGER 여행레저 / RISE K엔터&여행레저 / KODEX 운송,"TIGER 여행레저 (비중 9.92%, 20일선 +4.07%) / RISE K엔터&여행레저 (비중 12.77%, 20일선 -0.79%) / KODEX 운송 (비중 20.72%, 20일선 +4.00%)",https://finance.naver.com/item/main.naver?code=003490
2026-08-11,096770,SK이노베이션,124100,218078,6.71,14.91,92.86,116460.00,6.56,X,+11.50,117132.50,674725,866624,+28.44,석유와가스,정유 / 2차전지(생산) / 윤활유,통과,TIGER 2차전지테마 / RISE 2차전지TOP10 / KODEX 에너지화학,"TIGER 2차전지테마 (비중 9.28%, 20일선 +8.18%) / RISE 2차전지TOP10 (비중 12.82%, 20일선 +7.92%) / KODEX 에너지화학 (비중 13.10%, 20일선 +9.44%)",https://finance.naver.com/item/main.naver?code=096770
